"LANGUAGE","Português Brasileiro","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"DISABLED","Desativada",""
"LOW","Baixo",""
"MID","Médio",""
"HIGH","Alto",""
"K45_TLM_DETECTED","Uma versão mais antiga do Transport Lines Manager da Klyte45 foi detectada. Considere atualizar para versão do t1a2 para suporte completo em recursos.",""
"SETTINGS_ISSUE_DETECTED","As suas configurações parecem ter problemas que podem afetar a sua experiência.",""
"SETTINGS_ISSUE_DETECTED_QUICKFIX","Correção rápida",""
"WHATSNEW_L1","Esta mensagem é só para você saber que o mod foi atualizado",""
"WHATSNEW_L2","Para uma lista detalhada de mudanças, por favor visite a Oficina Steam ou o Github",""
"WHATSNEW_L3","Obrigado por seu uso e suporte!",""
"ERROR","Ops! Algo deu errado:",""
"ERROR_COPY","Copiar",""
"ERROR_SUPPORT","Atendimento",""
"MODDESCRIPTION","Veja sua cidade de uma perspectiva diferente","Mod's Description"
"SETTINGS_GROUPNAME_GENERAL","Opções gerais",""
"SETTINGS_GROUPNAME_CAM","Opções de câmera",""
"SETTINGS_GROUPNAME_CAMCONTROL","Controles de câmera",""
"SETTINGS_GROUPNAME_FREECAM","Opções de Modo Câmera livre",""
"SETTINGS_GROUPNAME_FOLLOW","Opções Modo Seguidor",""
"SETTINGS_GROUPNAME_WALKTHRU","Opções de Modo Caminhada",""
"SETTINGS_GROUPNAME_KEYMAP","Configuração das Teclas",""
"SETTINGS_GROUPNAME_SMOOTHTRANS","Opções de Transição Suave",""
"SETTINGS_GROUPNAME_OPT","Opções de Otimização",""
"SETTINGS_RESETBTN","Redefinir configurações de mod",""
"SETTINGS_RESETOFFSETBTN","Redefinir configurações de tipo",""
"SETTINGS_IMPORT","Importar configurações do v2",""
"SETTINGS_IMPORTCONFIRM","Você confirma a importação das configurações da Primeira Câmera Pessoa v2 (incluindo configurações de mod e configurações de tipo)? Irá sobrescrever as configurações de mod existentes e mesclar as configurações de tipo importado com as existentes.",""
"SETTINGS_IMPORTSUCCESSED","Suas configurações foram importadas com sucesso.",""
"SETTINGS_OPENWIKI","Abrir Wiki",""
"SETTINGS_HIDEUI","Ocultar ‘interface’ do jogo",""
"SETTINGS_SETBACKCAMERA","Redefinir a câmera após desativar",""
"SETTINGS_SETBACKCAMERA_DETAIL","Ao desativar a câmera FPS, redefina-a para sua posição original",""
"SETTINGS_SHOWINFOPANEL","Mostrar painel de informações por padrão",""
"SETTINGS_INFOPANELHEIGHTSCALE","Fator de escala da altura do painel de informações",""
"SETTINGS_SPEEDUNIT","Unidade de velocidade",""
"SETTINGS_FADE","Ativar animação do painel principal de desvanecer",""
"SETTINGS_MAXPITSHDEG","Ângulo máximo de visualização vertical",""
"SETTINGS_MAXPITSHDEG_DETAIL","O grau máximo para girar a câmera para cima e para baixo.",""
